epoch,train_loss,val_epoch,val_satisfaction
1,12.321609,0.689913,
2,12.277260,0.651304,
3,12.332186,0.604272,
4,12.972539,0.401916,
5,13.278453,0.346153,0.1345759934453093
6,13.074255,0.388555,
7,12.898586,0.429720,
8,13.017093,0.400580,
9,13.227709,0.354010,
10,13.149134,0.379996,0.1434521371022805
11,13.114160,0.398112,
12,13.186305,0.372432,
13,13.215172,0.374028,
14,13.312883,0.344801,
15,12.953342,0.422309,0.13546360781100641
16,13.244509,0.362750,
17,13.126992,0.382983,
18,13.436693,0.299207,
19,12.965676,0.422336,
20,13.082298,0.382873,0.1500751058309436
21,13.288366,0.326266,
22,13.307884,0.329667,
23,13.185428,0.348395,
24,13.285169,0.334570,
25,13.461855,0.287518,0.14645637034002457
26,13.053045,0.384584,
27,13.104405,0.363153,
28,12.962880,0.391400,
29,13.269741,0.315257,
30,13.143963,0.362513,0.1400382356957531
31,13.246210,0.320498,
32,13.098764,0.357879,
33,13.067014,0.373952,
34,13.234079,0.309592,
35,13.136307,0.348908,0.13573671992352862
36,13.096005,0.371243,
37,13.020139,0.368779,
38,13.084868,0.374967,
39,13.136474,0.347324,
40,13.068360,0.363427,0.1404479038645364
41,13.053787,0.366953,
42,13.033446,0.375177,
43,13.053986,0.366309,
44,13.061640,0.370967,
45,13.033806,0.377903,0.1417451863990168
46,13.051014,0.377471,
47,13.022567,0.383193,
48,12.887728,0.425645,
49,12.714709,0.473273,
50,12.594344,0.501058,0.14065273794892805
51,12.539400,0.518726,
52,12.482316,0.527863,
53,12.458187,0.538072,
54,12.426504,0.542323,
55,12.448141,0.535049,0.14092585006145023
56,12.431593,0.541154,
57,12.430588,0.543011,
58,12.407492,0.549438,
59,12.381589,0.558761,
60,12.341443,0.573618,0.14584186808684965
61,12.317441,0.580175,
62,12.296637,0.584223,
63,12.274416,0.594038,
64,12.246401,0.602339,
65,12.238957,0.606773,0.14488597569302197
66,12.215763,0.612485,
67,12.199323,0.617906,
68,12.185345,0.624195,
69,12.166072,0.629921,
70,12.157737,0.632577,0.14235968865219173
71,12.150330,0.634278,
72,12.140342,0.636905,
73,12.134055,0.639210,
74,12.124816,0.640906,
75,12.120161,0.644474,0.14433975146797762
76,12.120364,0.642035,
77,12.108786,0.647290,
78,12.102668,0.646627,
79,12.099524,0.648068,
80,12.096410,0.647913,0.14358869315854159
